GRBname,breaknum,slopes,slopes_err,breaks,breaks_err,normal,normal_err,fluence,chisq,rchisq,n,npar,dof,deltaAIC,BIC,flare_count,Trig_ID,T90,T90_err,redshift,redshift_err,conversion,conversion_bat,bat_conversion_rchisq,dimple,pulse_count,total_flare_fluence,total_pulse_fluence
GRB190718A,1,"[0.11448858492816237, 1.2349382199484797]","[0.1033970221848606, 0.14261760104344445]",[1213.8400089075687],[0.011302628378946432],3.5169672815346926,1.911912672732428,"(1995.1098905500082, [1995.1098905500082])",35.44885721046096,2.085226894732997,21,4,17,23.432431106622808,-25.85535362016539,4,915091.0,704.0,995.6063,,,4.06e-11,4.7636879573767437e-07,1.44423,2.0,1,6.115689281896952e-07,1.4887263271532863e-08
GRB190719C,5,"[1.0303438627087067, 5.501912702965604, 3.2560070886395334, 0.3269129326231873, 1.5824672890125613, 3.469247744363055]","[0.1841911231348443, 0.6852592581976784, 0.41870052098556854, 0.08840766944899578, 1.2233481609434853, 5.042815911061413]","[245.41943359587086, 318.23870782975575, 724.2916632706085, 84520.68229271618, 315399.20905858424]","[0.010762016463837957, 0.03200830229161997, 0.06705250620713576, nan, 3.7957117354336916]",12924.969437460535,12951.382988279802,"(34865.983180841184, [1261.4062363288033, 1675.2581803559174, 1269.6713205392334, 18636.54623966302, 12023.101203954204])",124.92001627353586,1.3432259814358696,105,12,93,54.9827878009938,475.2893276085063,5,915381.0,185.828,9.597204,2.469,,4.22e-11,4.503196915688263e-07,1.91118,4.0,10,8.984390235548346e-07,6.706019746878001e-07
GRB190613B,2,"[1.3446607495054368, -0.03893121618259514, 0.845711025064246]","[0.036342006133693226, 0.2646252555333752, 0.06856687768844044]","[3702.689718271413, 11927.903989819886]","[0.09824616222073457, 0.04473770882234526]",17641.46705876688,3669.434334063711,"(7860.415644677225, [5488.786518387418, 2371.629126289807])",137.58240967255134,1.9654629953221616,76,6,70,63.355315733299,32.79529087285327,3,908329.0,160.82,17.08426,,,3.74e-11,6.671572404492597e-10,1.67232,3.0,1,5.765412634366401e-07,3.612687951064756e-10
GRB190829A,5,"[1.5765099474048303, 0.35900182176922985, -0.2999998143551174, 1.6611361993117812, 0.982900260478219, 1.1946157822929284]","[0.041016327204483304, nan, 0.05089308339851975, 0.07865678621538182, 0.05237400568988976, 0.12484115498879833]","[183.24576808299756, 705.0450508212914, 6243.152882355727, 22870.43911200274, 240810.32104447795]","[0.043193433872200815, nan, 0.01795995090455024, 0.005634268322263384, 0.2623200359392739]",25951.882060753003,4711.612007802672,"(139825.08649457802, [1175.2254869673638, 2754.1097979661286, 37647.409622582134, 45310.79003372565, 52937.55155333674])",608.5974955493812,1.5407531532895726,407,12,395,199.93444248297823,283.76868740724234,2,922968.0,56.896,47.0011,0.0785,+0.005-0.005,4.73e-11,4.5759417396983044e-07,0.5691,1.0,2,8.165897827956827e-07,1.3486896592551523e-06
GRB190926A,5,"[0.24075699398829836, 2.6643687067525814, 0.272409527126497, 1.7037660552168363, 2.7572610583327566, 0.28700584071348595]","[0.027647960132956208, nan, 0.2730017260461242, nan, 0.48690785546333193, 0.8382580969073941]","[146.53180647393984, 237.6353805500657, 481.5090404542968, 827.4079853309044, 9172.671691778385]","[nan, 0.016864138800019697, nan, nan, 1.4660730300871978]",446.24027711419217,56.16110201757151,"(29440.118035101223, [2518.6875158556177, 6536.472884084291, 8124.8455320461035, 6623.5194754813765, 5636.592627633838])",201.5128591998524,1.6933853714273313,131,12,119,93.00159117264292,1107.1274572832242,5,926515.0,362.34,19.60651,,,4.12e-11,4.518989437474164e-07,1.15278,3.0,0,9.908708759265797e-07,0.0
GRB200107B,0,[0.8879819685458159],[0.5051609291252636],[],[],259.236088515428,1014.355572157792,"(0.0, [])",2.145693932745079,1.0728469663725395,4,2,2,4.281263325082614,-10.05928483128687,0,948219.0,86.676,11.66023,,,3.89e-11,5.181191135183539e-07,0.46404,4.0,4,0.0,2.7649953794931184e-07
GRB191029A,1,"[0.4587282542866899, 1.2588585085945847]","[0.36404559557350685, 0.5879493998503922]",[10631.589168700893],[0.030608978487009154],3.1663590161138693,10.061868609386998,"(418.9055495064114, [418.9055495064114])",7.625558531864593,0.5083705687909729,19,4,15,-4.854347993004982,-115.90858561655988,0,932058.0,41.0,8.246211,,,3.43e-11,6.264823601024547e-10,0.89542,3.0,1,0.0,4.390840460149486e-11
GRB191017B,0,[0.6950932945137649],[0.057672414639556455],[],[],40.46869430730415,19.430609738082676,"(0.0, [])",22.914919400078222,1.347936435298719,19,2,17,9.672922274552278,-63.311931958141926,0,929981.0,4.328,0.5712057,,,4.29e-11,4.397952667203175e-07,1.42013,1.0,1,0.0,1.379069762157343e-07
GRB191031D,1,"[0.6415983848005781, 2.567903911315111]","[1.7725803280638053, 0.7138287076453482]",[205.80090199852586],[0.19318895367498207],21.261303227438496,189.41131668424217,"(65.46182920976264, [65.46182920976264])",0.0606835187049069,0.0606835187049069,5,4,1,-6.010415691486466,-13.86372992037614,0,932608.0,0.288,0.04681884,,,3.31e-11,,,5.0,1,0.0,
GRB191106A,1,"[0.4750219095451392, 3.5286885978701235]","[0.8095900688070697, 0.5536001954687952]",[105.70559795444349],[0.08587066659195915],48.46618883317839,171.4414459984272,"(273.100523349831, [273.100523349831])",3.290246052093261,0.8225615130233153,8,4,4,6.43734390984967,18.180785723831956,0,933515.0,3.436,0.324863,,,3.25e-11,1.2036099581024289e-06,1.4459,4.0,1,0.0,1.4658263663765092e-07
GRB200224A,0,[0.773018860634026],[0.16949397822379925],[],[],10.110781835101644,12.332076240344112,"(0.0, [])",3.2301502595978127,0.6460300519195625,7,2,5,0.9416352060243618,-44.63705026991276,0,958141.0,45.0,9.219544,,,2.95e-11,1.1349350754798125e-07,0.72637,3.0,0,0.0,0.0
GRB200215A,0,[0.9488571657652073],[0.04683901680458555],[],[],352.7571278658142,112.5226856311086,"(0.0, [])",29.26246218024893,1.125479314624959,28,2,26,7.30985206619453,-30.90741959437492,0,956639.0,11.148,2.154535,,,5.11e-11,5.227044273930475e-07,0.46405,4.0,1,0.0,2.7964564564865833e-07
