GRBname,flarenum,indices,params,errors,fluence,peak_flux,stats,Trig_ID,T90,T90_err,redshift,redshift_err,conversion,conversion_bat,bat_conversion_rchisq,dimple,t_rise,duration,t_decay,t_start,t_peak,t_end,t_ratio,fluence_rise,fluence_decay,underlying_index,d_l,e_iso,L_p,L_iso,t_peak_z,t_start_z,t_end_z,afterglow_fluence
GRB210820A,3,"[69, 149, 206]","[178.61178785694557, 2.7635391642517, 81.91245696524236, 2.999432234997434, 23.94429313666803]","[3.893337671299341, 3.8107084212680213, 14.257355418365616, nan, 2.837259353634048]",5.141352721348928e-08,6.800175762560834e-10,"[10419.886697408221, 31.385200895807895, 342, 10, 332, 1198.647073684769, 12350.903054885426]",1069551.0,151.74,20.5579,,,2.84e-11,4.713204818604685e-07,0.75022,3.0,5.263777997691051,161.28435997023146,156.0205819725404,173.34800985925452,178.61178785694557,334.632369829486,29.64041835369551,1.6779642092864302e-09,4.973556300420285e-08,0.7665217052831814,,,,,,,,2.3394025052170342e-07
GRB210820A,4,"[69, 149, 206]","[242.62529033004728, 2.216872017773985, 106.46013801547451, 1.1168430737915827, 14.369260092460776]","[nan, 1.8678799299325608, 26.909372413364782, 0.38987785186150936, 2.265230937649689]",4.2552192076220595e-08,4.0769664377296115e-10,"[10419.886697408221, 31.385200895807895, 342, 10, 332, 1198.647073684769, 12350.903054885426]",1069551.0,151.74,20.5579,,,2.84e-11,4.713204818604685e-07,0.75022,3.0,12.510276889577312,613.2873148051626,600.7770379155853,230.11501344046997,242.62529033004728,843.4023282456326,48.0226811299525,8.680102935613152e-10,4.1684181782659276e-08,0.7665217052831814,,,,,,,,2.3394025052170342e-07
GRB210820A,5,"[224, 255, 303]","[347.41246652984404, 3.3516131757970213, 28.3226002945355, 2.9999999999998934, 34.821139546181385]","[1.694505420437797, 1.7807283386560955, nan, nan, nan]",2.796839226833828e-08,9.889199494147074e-10,"[12527.607294871252, 37.733756912262805, 342, 10, 332, 1261.6498450987658, 14458.623652348459]",1069551.0,151.74,20.5579,,,2.84e-11,4.713204818604685e-07,0.75022,3.0,6.38311795878235,60.323262330148225,53.940144371365875,341.0293485710617,347.41246652984404,401.3526109012099,8.450438284185422,2.959480946678043e-09,2.5008911321660233e-08,0.7665217052831814,,,,,,,,2.3394025052170342e-07
GRB210820A,6,"[224, 255, 303]","[383.82546413535107, 18.02630779091329, 18.026307790887515, 2.999999999999292, 35.290790594159446]","[7.96081459536321, 8.595769211314181, 7.711922330019611, 2.026141298245309, 5.8636721020470866]",3.226389870453003e-08,1.0022576986406473e-09,"[12527.607294871252, 37.733756912262805, 342, 10, 332, 1261.6498450987658, 14458.623652348459]",1069551.0,151.74,20.5579,,,2.84e-11,4.713204818604685e-07,0.75022,3.0,34.330945415074325,68.66189083009954,34.33094541502521,349.49451872027674,383.82546413535107,418.1564095503763,0.9999999999985695,1.613194927077753e-08,1.6131949433752495e-08,0.7665217052831814,,,,,,,,2.3394025052170342e-07
GRB210807C,1,"[11, 33, 81]","[205.89598988538268, 3.9416960740095273, 80.58595865812495, 2.999999999999211, 23.19544175551584]","[nan, nan, 5.518430043391824, 1.3178456035077324, 3.4854806127278195]",1.3410055959251395e-07,1.7767691708383034e-09,"[2024.6288513920135, 19.849302464627584, 107, 5, 102, 329.73406868283666, 2471.2926926466575]",1064421.0,89.972,6.255759,,,7.66e-11,4.49047008569929e-07,0.58923,2.0,7.5069256738115655,160.98217862096016,153.4752529471486,198.3890642115711,205.89598988538268,359.37124283253127,20.444488145467822,6.253381026676175e-09,1.2784717856583779e-07,2.208638195095972,,,,,,,,0.0
GRB210905A,1,"[0, 10, 34]","[95.46603752958299, 6.591826220649401, 21.084763367413867, 2.9999999999996363, 19.30051980335316]","[12.328143386316412, 9.58647338955981, 15.718235202744786, nan, 4.9845675981670725]",1.6550510719436992e-08,6.675323989148612e-10,"[6657.795468081762, 36.58129378066902, 187, 5, 182, 683.1134210313695, 7379.600959887348]",1071993.0,778.4,388.4563,6.318,,3.47e-11,4.350479634892801e-07,0.67181,3.0,12.55407534319528,52.70982263501031,40.15574729181503,82.91196218638771,95.46603752958299,135.62178482139802,3.19862245478563,3.941890595889812e-09,1.260862012354718e-08,1.426925689281558,1.9394886102276517e+29,1.0690630659860777e+51,4.311856263087203e+49,1.484240152174169e+50,13.045372715165755,11.329866382397885,18.532629792484016,4.78766022466772e-08
GRB210905A,2,"[51, 103, 153]","[358.9476570734194, 15.758223096150632, 59.17653769679064, 3.0, 76.73852229926005]","[5.701747125516649, 5.608971099484387, 8.436538462467453, 0.7164837264966448, 3.7365077332010994]",1.7816671677859354e-07,2.662826433027314e-09,"[3170.0050223057337, 17.417610012668867, 187, 5, 182, 544.3490898898511, 3891.810514111318]",1071993.0,778.4,388.4563,6.318,,3.47e-11,4.350479634892801e-07,0.67181,3.0,30.011397964986145,142.71259607419523,112.70119810920909,328.93625910843326,358.9476570734194,471.6488551826285,3.7552798520314155,3.746713536837133e-08,1.406995814102222e-07,-0.23191180538101264,1.9394886102276517e+29,1.1508494192406148e+52,1.7200251031152407e+50,5.90131234500445e+50,49.049966804238785,44.94892854720324,64.45051314329442,4.78766022466772e-08
GRB210930A,1,"[0, 2, 30]","[211.87876384093732, 0.035206666666666324, 32.202804085208996, 1.4883173538377552, 60.98204459322316]","[0.011582683133657914, 0.009753940105714034, 4.942609672162929, 0.38249106240429315, 9.969235073434556]",6.534868269374016e-08,2.2316991676839794e-09,"[183.9403055262847, 5.748134547696397, 37, 5, 32, 74.70838890030866, 307.3386595303809]",1075565.0,11.812,1.940826,,,3.68e-11,4.572938326679785e-07,1.3202,3.0,0.12899567760968011,118.1186529556818,117.98965727807212,211.74976816332764,211.87876384093732,329.86842111900944,914.6791540960743,7.136635104769162e-11,6.527731634269246e-08,-0.2667946376829952,,,,,,,,1.4840410141916905e-09
GRB211024B,1,"[13, 33, 84]","[6302.380061684944, 390.28495847283835, 809.1721841687987, 2.999999999999973, 6.051424448587577]","[254.15253720290508, 239.37776687402587, 280.2538011725044, nan, nan]",2.0285561374518997e-07,1.894087597566411e-10,"[4212.488827603642, 19.323343245888264, 223, 5, 218, 670.3729907057622, 4492.967304025026]",1081073.0,600.008,18.17655,1.1137,+0.0002-0.0002,3.13e-11,4.648967245862866e-07,0.7407,4.0,743.2942874972823,2284.3556300809596,1541.0613425836773,5559.085774187662,6302.380061684944,7843.441404268621,2.0732855996681017,6.600610470986416e-08,1.368495090353258e-07,0.8356925769668806,2.3725602159405993e+28,6.788722158720032e+50,6.338712647266227e+47,6.2815622217185054e+47,2981.6814409258386,2630.0259138892284,3710.7637811745385,4.6808228387206965e-06
GRB211024B,2,"[93, 109, 155]","[11977.31881029812, 246.33113492723996, 246.33113476524193, 1.1891474414740788, 7.319286987634389]","[67.11447738949792, 75.7462533091659, 150.40255089468224, nan, 1.2662803466544916]",1.0635172135411487e-07,2.2778039209764956e-10,"[4203.082667290761, 19.732782475543477, 223, 10, 213, 685.0487383163578, 4510.597002569446]",1081073.0,600.008,18.17655,1.1137,+0.0002-0.0002,3.13e-11,4.648967245862866e-07,0.7407,4.0,1251.2674662147674,2502.534931606646,1251.2674653918784,10726.051344083353,11977.31881029812,13228.586275689999,0.9999999993423556,5.3175860360957883e-08,5.3175860993156984e-08,0.8356925769668806,2.3725602159405993e+28,3.5591437379771192e+50,7.622849408040684e+47,3.0061367072036987e+47,5666.517864549426,5074.538176696482,6258.497552013058,4.6808228387206965e-06
