GRBname,pulse_num,t_start,t_stop,t_peak,rise,decay,sharp,amplitude,fluence_rise,fluence_decay,chisq,rchisq,deltaAIC,BIC,Trig_ID,T90,T90_err,redshift,redshift_err,conversion,conversion_bat,bat_conversion_rchisq,dimple,t_rise,t_decay,duration,t_ratio,fluence,peak_flux,underlying_index,d_l,e_iso,L_p,L_iso,t_peak_z,t_start_z,t_end_z,afterglow_fluence
GRB140114A,1,84.26577397632656,96.64447145236596,85.64118484766271,0.2986666758855184,2.389333327611292,1.0,0.0710331619545993,9.542184321994143e-09,7.63374720368529e-08,3574.805542362359,0.1903720067292767,-31146.77441094842,-104402.42091739934,583861.0,139.948,15.88016,3.0,+0.1-0.1,3.08e-11,4.5432216178607867e-07,0.41286,4.0,1.3754108713361575,11.003286604703248,12.378697476039406,7.999999733907868,8.587965635884705e-08,3.227193969771419e-08,0.43916732173487655,8.02757763485211e+28,1.7386381277350918e+51,6.533471044639711e+50,5.618161785116582e+50,21.41029621191568,21.06644349408164,24.16111786309149,9.104299961408777e-07
GRB140114A,2,92.7797008109532,96.80768968672736,93.56564980186256,0.1706666549046834,0.7040000160535224,1.0,0.0694834153598121,5.333713938522429e-09,2.200157201441489e-08,3494.176436133684,0.1860781998154054,-31575.272372280237,-104483.05002362802,583861.0,139.948,15.88016,3.0,+0.1-0.1,3.08e-11,4.5432216178607867e-07,0.41286,4.0,0.7859489909093611,3.242039884864795,4.027988875774156,4.125000378349847,2.733528595293732e-08,3.1567855474549857e-08,0.43916732173487655,8.02757763485211e+28,5.534042916023185e+50,6.390928825977917e+50,5.49558907603445e+50,23.39141245046564,23.1949252027383,24.20192242168184,9.104299961408777e-07
GRB140114A,3,102.04491830915586,125.42690238989844,106.9570998225772,1.0666666626930283,4.010666668415065,1.0,0.0602735143687887,2.891712567362356e-08,1.087283929852677e-07,3363.6165257331977,0.1791730957083682,-32275.54514532309,-104564.40639660646,583861.0,139.948,15.88016,3.0,+0.1-0.1,3.08e-11,4.5432216178607867e-07,0.41286,4.0,4.912181513421345,18.46980256732124,23.381984080742583,3.7600000156462015,1.3764551865889127e-07,2.7383593346472357e-08,0.43916732173487655,8.02757763485211e+28,2.7866407132818807e+51,5.543822773071118e+50,4.767158687062763e+50,26.7392749556443,25.511229577288965,31.35672559747461,9.104299961408777e-07
GRB140114A,4,95.86964479487304,100.31025689544946,96.45910658380332,0.12800000111262,0.8362666646639506,1.0,0.0654280642323917,3.766811872772619e-09,2.4609837295927587e-08,3363.6165257331977,0.1791730957083682,-32275.54514532309,-104564.40639660646,583861.0,139.948,15.88016,3.0,+0.1-0.1,3.08e-11,4.5432216178607867e-07,0.41286,4.0,0.5894617889302793,3.851150311646137,4.440612100576416,6.533333260897162,2.8376649168700208e-08,2.9725419583538607e-08,0.43916732173487655,8.02757763485211e+28,5.744867442868146e+50,6.017926717698085e+50,5.174842848464454e+50,24.11477664595083,23.96741119871826,25.077564223862364,9.104299961408777e-07
GRB140114A,5,108.24888115445472,121.61001490113632,116.50134610794976,1.7919999957077613,1.1093333333800457,1.000000000002311,0.0700081492505361,5.642693836971532e-08,3.493096193305733e-08,3217.588104685025,0.1713488180149656,-33124.224943892106,-104759.63835507668,583861.0,139.948,15.88016,3.0,+0.1-0.1,3.08e-11,4.5432216178607867e-07,0.41286,4.0,8.252464953495036,5.108668793186567,13.361133746681602,0.6190476205564464,9.135790030277265e-08,3.1806253710146e-08,0.43916732173487655,8.02757763485211e+28,1.849545462461073e+51,6.439192673269096e+50,5.537091380199468e+50,29.12533652698744,27.06222028861368,30.40250372528408,9.104299961408777e-07
GRB140114A,6,128.61982427204444,130.78118411461907,129.20928604130387,0.1279999968411511,0.3413333296775723,1.0,0.0600951317050683,3.4597851962179233e-09,9.226093985453708e-09,3128.605396979656,0.1666101500148927,-33650.98850429321,-104848.62106278204,583861.0,139.948,15.88016,3.0,+0.1-0.1,3.08e-11,4.5432216178607867e-07,0.41286,4.0,0.5894617692594295,1.5718980733151966,2.161359842574626,2.666666703915423,1.2685879181671631e-08,2.7302550149065744e-08,0.43916732173487655,8.02757763485211e+28,2.568262865064782e+50,5.527415535434311e+50,4.753050027996171e+50,32.30232151032597,32.15495606801111,32.69529602865477,9.104299961408777e-07
GRB140114A,7,131.60178979983252,145.7488726425642,143.78399998231404,2.645333329835367,0.4266666769972975,1.0000000000041338,0.0490103524513019,5.8313366620188635e-08,9.40538195309755e-09,3101.0488705547486,0.1651426600572344,-33817.16068321282,-104876.17758920696,583861.0,139.948,15.88016,3.0,+0.1-0.1,3.08e-11,4.5432216178607867e-07,0.41286,4.0,12.182210182481526,1.9648726602501654,14.147082842731692,0.16129032669915067,6.771874857328619e-08,2.226648927557312e-08,0.43916732173487655,8.02757763485211e+28,1.3709696012295778e+51,4.507862381697551e+50,3.8763315843136865e+50,35.94599999557851,32.90044744995813,36.43721816064105,9.104299961408777e-07
GRB120922A,1,-9.803194516138882,0.1194121570926285,-1.255998714179132,1.8559999863227847,0.2986666758802092,1.000000000019018,0.0779577417393109,6.528845617598578e-08,1.0506188751685231e-08,3787.544860058322,0.201701185432864,-30060.98113316024,-99978.01512329848,534394.0,168.224,29.23869,3.1,+0.2-0.2,3.44e-11,4.557883463325818e-07,0.7059,4.0,8.54719580195975,1.3754108712717605,9.922606673231511,0.16091954637992478,7.579464492767102e-08,3.5532230191183e-08,1.114554937292972,8.35133394580663e+28,1.6202283631674794e+51,7.595566575618698e+50,6.69474918007936e+50,-0.3063411497997883,-2.391023052716801,0.029124916364055734,1.742599847361101e-06
GRB120922A,2,2.610429397325329,5.852469188246445,2.806916599146702,0.0426666537890475,0.6613333423801708,1.0000000004792995,0.1188094403574864,2.2873820804362288e-09,3.5454433432595896e-08,3747.3190323594954,0.1995590069421394,-30261.53389977962,-100018.24095099732,534394.0,168.224,29.23869,3.1,+0.2-0.2,3.44e-11,4.557883463325818e-07,0.7059,4.0,0.19648720182137325,3.045552589099743,3.2420397909211163,15.500004890234319,3.7741815513032125e-08,5.415195834923823e-08,0.7390177911323161,8.35133394580663e+28,8.067899787643746e+50,1.1575822925514927e+51,1.0202955935942183e+51,0.6846138046699274,0.6366900969086169,1.4274315093284013,1.742599847361101e-06
GRB120922A,3,17.970289580331404,23.19685067181714,18.088181956416765,0.0256000041961678,1.1093333164850845,1.0000000000000036,0.0915093014469999,1.057071727055975e-09,4.5806433301802355e-08,3718.1663424201433,0.1980065151997094,-30408.229722218308,-100047.39364093666,534394.0,168.224,29.23869,3.1,+0.2-0.2,3.44e-11,4.557883463325818e-07,0.7059,4.0,0.1178923760853614,5.108668715400373,5.226561091485735,43.333325572311644,4.686350502885833e-08,4.170887318057782e-08,0.7390177911323161,8.35133394580663e+28,1.0017802724408279e+51,8.915920034643018e+50,7.858511639131778e+50,4.411751696687016,4.382997458617416,5.657768456540766,1.742599847361101e-06
